Start,End,Description,Address,Lat,Lon,Neighborhood
,2015-09-19T08:45:00.000-04:00,OPERATION OF VEHICLE W/O VALID INSPECTION,JAMES ST & BOAS ST,40.267619,-76.8867604,midtown
,2015-09-19T08:12:00.000-04:00,DR UNREGIST VEH,500 BLK FORSTER ST,40.2673644,-76.8842761,
,2015-09-19T02:04:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,1500 BLK ALLISON ST,40.244579,-76.859135,allison-hill
,2015-09-19T01:53:00.000-04:00,AGG ASSAULT-ATTEMPT TO OR CAUSE SER BODILY INJ,LOCUST ST & N 2ND ST,40.2609618,-76.8839258,downtown
2015-09-18T01:00:00.000-04:00,2015-09-19T01:52:00.000-04:00,BURGLARY-ENTERS STRUCTURE W/NO PERSON PRESENT,1600 BLK HUNTER ST,40.2610211,-76.8629626,allison-hill
,2015-09-19T01:38:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP OF AN,2600 BLK N 7TH ST,40.2894349,-76.8911337,uptown
2015-09-19T01:20:00.000-04:00,2015-09-19T01:31:00.000-04:00,MARIJUANA-SMALL AMT PERSONAL USE,500 BLK S 29TH ST,40.267447,-76.841731,allison-hill
2015-09-19T01:00:00.000-04:00,2015-09-19T01:00:00.000-04:00,USE/POSS W INTENT TO USE DRUG PARAPHERNALIA,2300 BLK N FRONT ST,40.281196,-76.9012777,uptown
,2015-09-19T00:58:00.000-04:00,DRIVING UNDER THE INFLUENCE OF ALCOHOL,1900 BLK RUDY RD,40.2635194,-76.8589514,allison-hill
,2015-09-19T00:31:00.000-04:00,PUBLIC DRUNKENESS,1200 BLK KITTATINNY ST,40.2610362,-76.8705813,allison-hill
2015-09-18T00:01:00.000-04:00,2015-09-18T23:59:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,3100 BLK PENNWOOD RD,40.296222,-76.894668,uptown
,2015-09-18T20:00:00.000-04:00,SIMPLE ASSLT-FEAR OF BODILY INJ BY PHYSICAL ME,2300 BLK N 6TH ST,40.283721,-76.892364,uptown
,2015-09-18T19:02:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,1500 BLK MARKET ST,40.266892,-76.866947,allison-hill
,2015-09-18T18:05:00.000-04:00,MANUFACT/DEL/POSS W INT TO MAN/DEL CONTRLLD SU,600 BLK ROSS ST,40.2858416,-76.8931476,uptown
,2015-09-18T18:00:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,300 BLK MACLAY ST,40.2790551,-76.8957353,
,2015-09-18T17:13:00.000-04:00,AGG ASSLT-ATMPT/CAUSE BODILY INJURY W DEADLY W,1700 BLK PAXTON ST,40.2554045,-76.8587255,allison-hill
,2015-09-18T15:11:00.000-04:00,CARRYING FIREARM WITHOUT A LICENSE,1700 BLK N 5TH ST,40.275369,-76.889213,midtown
2015-09-18T09:00:00.000-04:00,2015-09-18T14:30:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,BLACKBERRY ST & S FRONT ST,,,
,2015-09-18T12:17:00.000-04:00,MANUFACT/DEL/POSS W INT TO MAN/DEL CONTRLLD SU,FIRST BLK N CAMERON ST,40.2664785,-76.8756491,allison-hill
2015-09-18T00:01:00.000-04:00,2015-09-18T12:00:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,2300 BLK N 6TH ST,40.283721,-76.892364,uptown
,2015-09-18T10:30:00.000-04:00,ABANDONING VEH ON HIGHWAY,1600 BLK ELLA AL,40.2604536,-76.8632058,allison-hill
,2015-09-18T08:00:00.000-04:00,SIMPLE ASSAULT-ATTEMPTS/CAUSES BODILY INJURY,300 BLK HALE AV,40.266595,-76.84699,allison-hill
2015-09-17T21:00:00.000-04:00,2015-09-18T06:30:00.000-04:00,SCATTER RUBBISH UPON LAND/STREAM ETC,1900 BLK NORTH ST,40.273839,-76.863744,allison-hill
2015-09-17T23:00:00.000-04:00,2015-09-18T06:00:00.000-04:00,CRIM'L MISCH-INT'L DAMAGE REAL/PERSONAL PROP O,400 BLK S 13TH ST,40.260179,-76.867712,allison-hill
,2015-09-18T03:36:00.000-04:00,DRIV WHILE OPER PRIV SUSP OR REVOKED,N 17TH ST & PARK ST,40.2680879,-76.8651397,allison-hill
2015-09-18T01:41:00.000-04:00,2015-09-18T02:10:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,S 15TH ST & SYCAMORE ST,40.2521185,-76.8607218,allison-hill
,2015-09-17T23:15:00.000-04:00,PUBLIC DRUNKENESS,FIRST BLK N 15TH ST,40.2678369,-76.8678037,allison-hill
2015-09-17T21:09:00.000-04:00,2015-09-17T21:11:00.000-04:00,DR UNREGIST VEH,500 BLK S FRONT ST,40.262488,-76.8885843,downtown
2015-09-17T17:30:00.000-04:00,2015-09-17T20:30:00.000-04:00,THEFT BY UNLAWFUL TAKING - MOVABLE PROPERTY,CUMBERLAND ST & N 14TH ST,40.2752452,-76.8729572,allison-hill
,2015-09-17T19:15:00.000-04:00,"HARASSMENT - PHYSICALLY STRIKE, ETC",1800 BLK SUSQUEHANNA ST,40.2749373,-76.8936345,midtown
2015-09-17T19:05:00.000-04:00,2015-09-17T19:15:00.000-04:00,DEF TRES ACTUAL COMMUNICATION TO,600 BLK REILY ST,40.273178,-76.8866639,midtown
2015-09-17T17:55:00.000-04:00,2015-09-17T18:10:00.000-04:00,THEFT FROM MOTOR VEHICLE,2300 BLK N 3RD ST,40.282326,-76.897555,uptown
,2015-09-17T16:27:00.000-04:00,INTENTIONALLY POSS CONT/COUNTRFT SUB BY UNAUTH,1200 BLK BERRYHILL ST,40.2583255,-76.8690635,allison-hill
